"Vendor","Rohde&Schwarz",
"Device/Mat.-No.","RTM3004US / 1335.8794k04",
"Serial No.","112081",
"Firmware Version","01.700",
"Date","2023-11-23",
"Time","01:03:09",
"Comment","",

"Meas. Place",,"1",,"2",,"3",,"4",,
"Type",,"Period",,"Frequency",,"Duty Cycle +",,"Mean Value",,
"Source 1",,"C1",,"C1",,"C1",,"C1",,
"Source 2",,,,,,,,,,
"Unit",,s,,Hz,,%,,V,,
"Gate Start [s]",,-2.794380e-03,,,,,,,,
"Gate Stop [s]",,2.706180e-03,,,,,,,,
"Upper Level [%]",,9.000000e+01,,9.000000e+01,,9.000000e+01,,9.000000e+01,,
"Middle Level [%]",,5.000000e+01,,5.000000e+01,,5.000000e+01,,5.000000e+01,,
"Lower Level [%]",,1.000000e+01,,1.000000e+01,,1.000000e+01,,1.000000e+01,,
"Wave count",,26397,,26396,,26396,,26395,,
"Current",,4.061706e-03,,2.462112e+02,,5.001067e+01,,1.509516e+00,,
"Average No.",,1.000000e+03,,1.000000e+03,,1.000000e+03,,1.000000e+03,,
"Min",,3.689300e-05,,2.461704e+02,,4.952941e+01,,3.051000e-03,,
"Max",,4.062101e-03,,4.856232e+02,,5.050471e+01,,1.680750e+00,,
"Mean",,2.656853e-03,,4.022910e+02,,5.001965e+01,,1.471128e+00,,
"StdDev",,7.430390e-04,,9.589671e+01,,2.213895e-01,,1.872965e-01,,
"Time of first value",,,,,,,,,,
"Time of last value",,,,,,,,,,
"Long term Min",,2.646500e-05,,2.461704e+02,,4.952941e+01,,-5.130000e-04,,
"Long term Max",,4.062101e-03,,5.599965e+02,,5.050471e+01,,1.685124e+00,,
"Long term Mean",,2.347880e-03,,4.353579e+02,,5.003823e+01,,1.551528e+00,,
"Long term StdDev",,4.261750e-04,,5.305178e+01,,5.641023e-02,,1.169907e-01,,
"Long term start time",,,,,,,,,,
"Long term end Time",,,,,,,,,,


"Index","Time Offset","Value","Time Offset","Value","Time Offset","Value","Time Offset","Value",
1,,4.008302e-03,,2.494800e+02,,5.000786e+01,,1.505034e+00,
2,,4.007986e-03,,2.494950e+02,,5.000688e+01,,1.503414e+00,
3,,4.008381e-03,,2.494375e+02,,5.000885e+01,,1.507032e+00,
4,,4.008302e-03,,2.494950e+02,,5.001278e+01,,1.503738e+00,
5,,4.007986e-03,,2.495025e+02,,5.000786e+01,,1.505115e+00,
6,,4.007828e-03,,2.495100e+02,,5.000688e+01,,1.503684e+00,
7,,4.008618e-03,,2.494725e+02,,5.000786e+01,,1.504926e+00,
8,,4.008065e-03,,2.494925e+02,,5.000885e+01,,1.504440e+00,
9,,4.008223e-03,,2.494975e+02,,5.001278e+01,,1.508787e+00,
10,,4.008539e-03,,2.494775e+02,,5.001081e+01,,1.506978e+00,
11,,4.008144e-03,,2.494950e+02,,5.000688e+01,,1.507221e+00,
12,,4.008065e-03,,2.495000e+02,,5.000983e+01,,1.506519e+00,
13,,4.007986e-03,,2.494975e+02,,5.000786e+01,,1.508787e+00,
14,,4.008065e-03,,2.495075e+02,,5.001376e+01,,1.510623e+00,
15,,4.008065e-03,,2.494950e+02,,5.000885e+01,,1.504656e+00,
16,,4.007907e-03,,2.494975e+02,,5.000885e+01,,1.508085e+00,
17,,4.007512e-03,,2.495350e+02,,5.000885e+01,,1.503981e+00,
18,,4.007512e-03,,2.495350e+02,,5.000885e+01,,1.505844e+00,
19,,4.007828e-03,,2.495100e+02,,5.000885e+01,,1.512162e+00,
20,,4.007512e-03,,2.495325e+02,,5.000983e+01,,1.508598e+00,
21,,4.007828e-03,,2.495050e+02,,5.000983e+01,,1.506519e+00,
22,,4.007986e-03,,2.494975e+02,,5.000983e+01,,1.507977e+00,
23,,4.008223e-03,,2.494850e+02,,5.000590e+01,,1.506411e+00,
24,,4.008144e-03,,2.494975e+02,,5.001180e+01,,1.508274e+00,
25,,4.008144e-03,,2.494950e+02,,5.000688e+01,,1.509219e+00,
26,,4.008381e-03,,2.494725e+02,,5.000983e+01,,1.506978e+00,
