"Vendor","Rohde&Schwarz",
"Device/Mat.-No.","RTM3004US / 1335.8794k04",
"Serial No.","112081",
"Firmware Version","01.700",
"Date","2023-11-23",
"Time","01:32:24",
"Comment","",

"Meas. Place",,"1",,"2",,"3",,"4",,
"Type",,"Period",,"Frequency",,"Duty Cycle +",,"Mean Value",,
"Source 1",,"C1",,"C1",,"C1",,"C1",,
"Source 2",,,,,,,,,,
"Unit",,,,Hz,,%,,V,,
"Gate Start [s]",,1.147100e-04,,,,,,,,
"Gate Stop [s]",,2.097470e-03,,,,,,,,
"Upper Level [%]",,9.000000e+01,,9.000000e+01,,9.000000e+01,,9.000000e+01,,
"Middle Level [%]",,5.000000e+01,,5.000000e+01,,5.000000e+01,,5.000000e+01,,
"Lower Level [%]",,1.000000e+01,,1.000000e+01,,1.000000e+01,,1.000000e+01,,
"Wave count",,185,,185,,185,,185,,
"Current",,nan,,4.999749e+02,,5.001278e+01,,1.602369e+00,,
"Average No.",,1.000000e+03,,1.000000e+03,,1.000000e+03,,1.000000e+03,,
"Min",,nan,,4.999110e+02,,5.000071e+01,,-7.560000e-04,,
"Max",,nan,,5.000601e+02,,5.003692e+01,,1.609821e+00,,
"Mean",,nan,,4.999956e+02,,5.001622e+01,,1.568237e+00,,
"StdDev",,nan,,2.019950e-02,,4.335633e-03,,2.329333e-01,,
"Time of first value",,,,,,,,,,
"Time of last value",,,,,,,,,,
"Long term Min",,nan,,4.999110e+02,,5.000071e+01,,-7.560000e-04,,
"Long term Max",,nan,,5.000601e+02,,5.003692e+01,,1.609821e+00,,
"Long term Mean",,nan,,4.999962e+02,,5.001622e+01,,1.568241e+00,,
"Long term StdDev",,nan,,2.023500e-02,,4.347660e-03,,2.335654e-01,,
"Long term start time",,,,,,,,,,
"Long term end Time",,,,,,,,,,


"Index","Time Offset","Value","Time Offset","Value","Time Offset","Value","Time Offset","Value",
54,,1.600000e+308,,4.999749e+02,,5.001420e+01,,1.605393e+00,
55,,1.600000e+308,,4.999749e+02,,5.001278e+01,,1.601964e+00,
56,,1.600000e+308,,5.000317e+02,,5.000710e+01,,1.600533e+00,
57,,1.600000e+308,,5.000175e+02,,5.001988e+01,,1.602666e+00,
58,,1.600000e+308,,4.999536e+02,,5.001349e+01,,1.599966e+00,
59,,1.600000e+308,,4.999607e+02,,5.002130e+01,,1.603071e+00,
60,,1.600000e+308,,5.000246e+02,,5.001775e+01,,1.604745e+00,
61,,1.600000e+308,,4.999891e+02,,5.001420e+01,,1.604610e+00,
62,,1.600000e+308,,4.999820e+02,,5.001349e+01,,1.604988e+00,
63,,1.600000e+308,,5.000104e+02,,5.001775e+01,,1.603017e+00,
64,,1.600000e+308,,5.000175e+02,,5.001420e+01,,1.606419e+00,
65,,1.600000e+308,,4.999962e+02,,5.001775e+01,,1.602990e+00,
66,,1.600000e+308,,4.999962e+02,,5.001775e+01,,1.601424e+00,
67,,1.600000e+308,,5.000175e+02,,5.001846e+01,,1.602612e+00,
68,,1.600000e+308,,4.999110e+02,,5.002627e+01,,1.605204e+00,
69,,1.600000e+308,,4.999962e+02,,5.001917e+01,,1.601694e+00,
70,,1.600000e+308,,5.000033e+02,,5.001988e+01,,1.602126e+00,
71,,1.600000e+308,,4.999749e+02,,5.001846e+01,,1.603908e+00,
72,,1.600000e+308,,4.999749e+02,,5.000426e+01,,1.600317e+00,
73,,1.600000e+308,,4.999891e+02,,5.001704e+01,,1.602693e+00,
74,,1.600000e+308,,4.999891e+02,,5.001562e+01,,1.604178e+00,
75,,1.600000e+308,,4.999962e+02,,5.002059e+01,,1.604124e+00,
76,,1.600000e+308,,4.999891e+02,,5.002130e+01,,1.601694e+00,
77,,1.600000e+308,,5.000104e+02,,5.002059e+01,,1.604475e+00,
78,,1.600000e+308,,4.999962e+02,,5.001065e+01,,1.602153e+00,
79,,1.600000e+308,,5.000175e+02,,5.001420e+01,,1.603071e+00,
80,,1.600000e+308,,4.999891e+02,,5.001988e+01,,1.603314e+00,
81,,1.600000e+308,,4.999678e+02,,5.001491e+01,,1.602558e+00,
82,,1.600000e+308,,5.000246e+02,,5.001775e+01,,1.601316e+00,
83,,1.600000e+308,,4.999891e+02,,5.001846e+01,,1.605798e+00,
84,,1.600000e+308,,5.000104e+02,,5.001491e+01,,1.599183e+00,
85,,1.600000e+308,,5.000175e+02,,5.001420e+01,,1.600263e+00,
86,,1.600000e+308,,4.999962e+02,,5.001491e+01,,1.602855e+00,
87,,1.600000e+308,,4.999749e+02,,5.000994e+01,,1.602693e+00,
88,,1.600000e+308,,5.000033e+02,,5.001704e+01,,1.599129e+00,
89,,1.600000e+308,,4.999891e+02,,5.001420e+01,,1.600371e+00,
90,,1.600000e+308,,5.000033e+02,,5.001562e+01,,1.598319e+00,
91,,1.600000e+308,,4.999749e+02,,5.001846e+01,,1.605447e+00,
92,,1.600000e+308,,4.999820e+02,,5.002343e+01,,1.601613e+00,
93,,1.600000e+308,,5.000104e+02,,5.001491e+01,,1.600128e+00,
94,,1.600000e+308,,5.000104e+02,,5.002059e+01,,1.599507e+00,
95,,1.600000e+308,,5.000033e+02,,5.001846e+01,,1.601154e+00,
96,,1.600000e+308,,4.999749e+02,,5.002130e+01,,1.599858e+00,
97,,1.600000e+308,,4.999891e+02,,5.001988e+01,,1.600533e+00,
98,,1.600000e+308,,5.000033e+02,,5.001420e+01,,1.604259e+00,
99,,1.600000e+308,,4.999962e+02,,5.001775e+01,,1.600668e+00,
100,,1.600000e+308,,5.000175e+02,,5.002272e+01,,1.601424e+00,
101,,1.600000e+308,,4.999891e+02,,5.001562e+01,,1.602288e+00,
