"Vendor","Rohde&Schwarz",
"Device/Mat.-No.","RTM3004US / 1335.8794k04",
"Serial No.","112081",
"Firmware Version","01.700",
"Date","2023-11-23",
"Time","01:30:24",
"Comment","",

"Meas. Place",,"1",,"2",,"3",,"4",,
"Type",,"Period",,"Frequency",,"Duty Cycle +",,"Mean Value",,
"Source 1",,"C1",,"C1",,"C1",,"C1",,
"Source 2",,,,,,,,,,
"Unit",,,,Hz,,%,,V,,
"Gate Start [s]",,6.463100e-04,,,,,,,,
"Gate Stop [s]",,1.989470e-03,,,,,,,,
"Upper Level [%]",,9.000000e+01,,9.000000e+01,,9.000000e+01,,9.000000e+01,,
"Middle Level [%]",,5.000000e+01,,5.000000e+01,,5.000000e+01,,5.000000e+01,,
"Lower Level [%]",,1.000000e+01,,1.000000e+01,,1.000000e+01,,1.000000e+01,,
"Wave count",,133,,133,,133,,133,,
"Current",,nan,,5.000009e+02,,5.001421e+01,,1.778004e+00,,
"Average No.",,1.000000e+03,,1.000000e+03,,1.000000e+03,,1.000000e+03,,
"Min",,nan,,4.999323e+02,,5.000784e+01,,1.773846e+00,,
"Max",,nan,,5.000597e+02,,5.002891e+01,,1.784295e+00,,
"Mean",,nan,,4.999974e+02,,5.001637e+01,,1.779370e+00,,
"StdDev",,nan,,2.039870e-02,,3.569000e-03,,2.067228e-03,,
"Time of first value",,,,,,,,,,
"Time of last value",,,,,,,,,,
"Long term Min",,nan,,4.999323e+02,,5.000784e+01,,1.773846e+00,,
"Long term Max",,nan,,5.000597e+02,,5.002891e+01,,1.784295e+00,,
"Long term Mean",,nan,,4.999960e+02,,5.001637e+01,,1.779381e+00,,
"Long term StdDev",,nan,,2.048200e-02,,3.582494e-03,,2.074950e-03,,
"Long term start time",,,,,,,,,,
"Long term end Time",,,,,,,,,,


"Index","Time Offset","Value","Time Offset","Value","Time Offset","Value","Time Offset","Value",
31,,1.600000e+308,,4.999813e+02,,5.001617e+01,,1.777464e+00,
32,,1.600000e+308,,5.000205e+02,,5.001421e+01,,1.776249e+00,
33,,1.600000e+308,,4.999813e+02,,5.001617e+01,,1.777113e+00,
34,,1.600000e+308,,5.000058e+02,,5.000882e+01,,1.775709e+00,
35,,1.600000e+308,,5.000009e+02,,5.000931e+01,,1.778625e+00,
36,,1.600000e+308,,5.000597e+02,,5.001421e+01,,1.780731e+00,
37,,1.600000e+308,,4.999323e+02,,5.000833e+01,,1.778787e+00,
38,,1.600000e+308,,5.000205e+02,,5.001127e+01,,1.777356e+00,
39,,1.600000e+308,,5.000009e+02,,5.001911e+01,,1.780110e+00,
40,,1.600000e+308,,4.999470e+02,,5.001764e+01,,1.778463e+00,
41,,1.600000e+308,,5.000107e+02,,5.001323e+01,,1.782054e+00,
42,,1.600000e+308,,5.000009e+02,,5.001715e+01,,1.780326e+00,
43,,1.600000e+308,,4.999960e+02,,5.001372e+01,,1.780731e+00,
44,,1.600000e+308,,4.999960e+02,,5.001372e+01,,1.779462e+00,
45,,1.600000e+308,,4.999813e+02,,5.001225e+01,,1.777626e+00,
46,,1.600000e+308,,5.000107e+02,,5.001323e+01,,1.778004e+00,
47,,1.600000e+308,,4.999715e+02,,5.001519e+01,,1.776006e+00,
48,,1.600000e+308,,5.000107e+02,,5.001715e+01,,1.779759e+00,
49,,1.600000e+308,,4.999862e+02,,5.001274e+01,,1.778247e+00,
50,,1.600000e+308,,4.999911e+02,,5.001715e+01,,1.781541e+00,
51,,1.600000e+308,,5.000156e+02,,5.001568e+01,,1.778895e+00,
52,,1.600000e+308,,5.000254e+02,,5.001960e+01,,1.777842e+00,
53,,1.600000e+308,,4.999764e+02,,5.001666e+01,,1.782108e+00,
54,,1.600000e+308,,5.000254e+02,,5.001078e+01,,1.780137e+00,
