"Vendor","Rohde&Schwarz",
"Device/Mat.-No.","RTM3004US / 1335.8794k04",
"Serial No.","112081",
"Firmware Version","01.700",
"Date","2023-11-23",
"Time","01:02:47",
"Comment","",

"Meas. Place",,"1",,"2",,"3",,"4",,
"Type",,"Period",,"Frequency",,"Duty Cycle +",,"Mean Value",,
"Source 1",,"C1",,"C1",,"C1",,"C1",,
"Source 2",,,,,,,,,,
"Unit",,s,,Hz,,%,,V,,
"Gate Start [s]",,-2.794380e-03,,,,,,,,
"Gate Stop [s]",,2.706180e-03,,,,,,,,
"Upper Level [%]",,9.000000e+01,,9.000000e+01,,9.000000e+01,,9.000000e+01,,
"Middle Level [%]",,5.000000e+01,,5.000000e+01,,5.000000e+01,,5.000000e+01,,
"Lower Level [%]",,1.000000e+01,,1.000000e+01,,1.000000e+01,,1.000000e+01,,
"Wave count",,26147,,26146,,26146,,26145,,
"Current",,3.060697e-03,,3.267012e+02,,5.002317e+01,,1.481814e+00,,
"Average No.",,1.000000e+03,,1.000000e+03,,1.000000e+03,,1.000000e+03,,
"Min",,3.689300e-05,,2.494184e+02,,4.952941e+01,,3.051000e-03,,
"Max",,4.009803e-03,,4.856208e+02,,5.050471e+01,,1.512972e+00,,
"Mean",,2.858743e-03,,3.855625e+02,,5.001907e+01,,1.483392e+00,,
"StdDev",,9.262470e-04,,1.123442e+02,,2.208208e-01,,1.562251e-01,,
"Time of first value",,,,,,,,,,
"Time of last value",,,,,,,,,,
"Long term Min",,2.646500e-05,,2.494175e+02,,4.952941e+01,,-5.130000e-04,,
"Long term Max",,4.010040e-03,,5.599965e+02,,5.050471e+01,,1.685124e+00,,
"Long term Mean",,2.339664e-03,,4.364962e+02,,5.003849e+01,,1.552392e+00,,
"Long term StdDev",,4.181589e-04,,5.189267e+01,,5.660488e-02,,1.154153e-01,,
"Long term start time",,,,,,,,,,
"Long term end Time",,,,,,,,,,


"Index","Time Offset","Value","Time Offset","Value","Time Offset","Value","Time Offset","Value",
1,,4.008065e-03,,2.494925e+02,,5.000688e+01,,1.509732e+00,
2,,4.008223e-03,,2.494800e+02,,5.000590e+01,,1.509543e+00,
3,,4.008223e-03,,2.494800e+02,,5.000688e+01,,1.509624e+00,
4,,4.008302e-03,,2.494750e+02,,5.000688e+01,,1.507626e+00,
5,,4.008460e-03,,2.494775e+02,,5.000590e+01,,1.508166e+00,
6,,4.008539e-03,,2.494625e+02,,5.001081e+01,,1.508328e+00,
7,,4.008144e-03,,2.494775e+02,,5.000688e+01,,1.509813e+00,
8,,4.008302e-03,,2.494875e+02,,5.000590e+01,,1.507815e+00,
9,,4.008381e-03,,2.494650e+02,,5.001081e+01,,1.507707e+00,
10,,4.008381e-03,,2.494725e+02,,5.000491e+01,,1.507329e+00,
11,,4.008855e-03,,2.494550e+02,,5.000786e+01,,1.504548e+00,
12,,4.008776e-03,,2.494475e+02,,5.001081e+01,,1.509948e+00,
13,,4.008381e-03,,2.494725e+02,,5.000491e+01,,1.511028e+00,
14,,4.008776e-03,,2.494500e+02,,5.000688e+01,,1.509165e+00,
15,,4.008539e-03,,2.494675e+02,,5.000590e+01,,1.508031e+00,
16,,4.008776e-03,,2.494575e+02,,5.000885e+01,,1.505817e+00,
17,,4.008381e-03,,2.494700e+02,,5.000885e+01,,1.505331e+00,
18,,4.008539e-03,,2.494675e+02,,5.000491e+01,,1.507221e+00,
19,,4.008381e-03,,2.494800e+02,,5.000885e+01,,1.508004e+00,
20,,4.008065e-03,,2.494775e+02,,5.000688e+01,,1.505790e+00,
21,,4.008144e-03,,2.494825e+02,,5.000688e+01,,1.508949e+00,
22,,4.008381e-03,,2.494675e+02,,5.000885e+01,,1.508571e+00,
23,,4.008302e-03,,2.494825e+02,,5.000491e+01,,1.506897e+00,
24,,4.008381e-03,,2.494750e+02,,5.000786e+01,,1.504872e+00,
25,,4.008144e-03,,2.494950e+02,,5.000688e+01,,1.505358e+00,
26,,4.008144e-03,,2.494950e+02,,5.000885e+01,,1.505061e+00,
27,,4.008144e-03,,2.494925e+02,,5.000491e+01,,1.502820e+00,
28,,4.008144e-03,,2.494900e+02,,5.000885e+01,,1.504305e+00,
29,,4.008381e-03,,2.494775e+02,,5.000590e+01,,1.505574e+00,
30,,4.008776e-03,,2.494500e+02,,5.000688e+01,,1.506384e+00,
31,,4.008144e-03,,2.494875e+02,,5.000786e+01,,1.506060e+00,
